wavelength_nm,HDPE_white_GDS384,HDPE_black_GDS351,LDPE_white_GDS404,PET_clear_GDS380,PET_brown_GDS379,Polystyrene_blue_GDS345,ABS_black_GDS341,Polyester_black_GDS434,Nylon_olive_GDS428,Cotton_white_GDS437,Concrete_grey_GDS375,Brick_red_GDS349,Asphalt_black_GDS376,Asphalt_tar_GDS346,Cedar_fresh_GDS357,Cedar_weathered_GDS361,Pine_beam_GDS363,GreenVeg_aspen,DryGrass_golden_GDS480,DryNPV_Dspicata,BareSoil_playa,Water_turbid,IronOxide_GDS782,Goethite_GDS134,Cellulose_SAC6288,Lignin_SA370959
382,0.149574,0.132032,0.121090,0.404336,0.011155,0.493626,0.026270,0.017808,0.061548,0.220639,0.169413,0.053947,0.057187,0.026572,0.025465,0.077752,0.089060,,0.030948,0.134340,0.159156,0.058998,0.014833,0.017816,0.824211,0.013959
383,0.155271,0.132542,0.128002,0.407839,0.010758,0.499567,0.026270,0.017520,0.060895,0.223275,0.170267,0.053969,0.057341,0.026527,0.025677,0.078027,0.090721,,0.031479,0.134489,0.160331,0.058129,0.014392,0.017791,0.825030,0.013963
384,0.161472,0.133047,0.135541,0.411134,0.010367,0.505662,0.026260,0.017205,0.060218,0.226157,0.171129,0.053962,0.057490,0.026475,0.025926,0.078264,0.092427,,0.032008,0.134745,0.161544,0.058239,0.014292,0.017765,0.826247,0.013882
385,0.168271,0.133537,0.143792,0.414242,0.009990,0.511879,0.026239,0.016931,0.059568,0.229334,0.171995,0.053941,0.057633,0.026432,0.026195,0.078502,0.094186,,0.032497,0.135111,0.162802,0.059741,0.014359,0.017755,0.827515,0.013939
386,0.175760,0.134021,0.152837,0.417174,0.009624,0.518192,0.026217,0.016754,0.058991,0.232846,0.172859,0.053924,0.057775,0.026403,0.026472,0.078777,0.096010,,0.032968,0.135429,0.164087,0.061871,0.014461,0.017763,0.828708,0.014035
387,0.183999,0.134512,0.162712,0.419940,0.009265,0.524574,0.026206,0.016653,0.058463,0.236652,0.173722,0.053915,0.057927,0.026391,0.026750,0.079091,0.097903,,0.033460,0.135713,0.165377,0.063572,0.014335,0.017787,0.829836,0.013984
388,0.193028,0.135016,0.173425,0.422552,0.008911,0.530999,0.026215,0.016555,0.057920,0.240668,0.174590,0.053913,0.058096,0.026397,0.027031,0.079428,0.099864,,0.033999,0.135754,0.166650,0.064080,0.014537,0.017822,0.831084,0.014067
389,0.202889,0.135509,0.184993,0.425025,0.008568,0.537443,0.026240,0.016397,0.057306,0.244811,0.175466,0.053918,0.058279,0.026409,0.027316,0.079771,0.101895,,0.034578,0.135501,0.167887,0.063813,0.015179,0.017854,0.832271,0.014087
390,0.213638,0.135962,0.197515,0.427376,0.008246,0.543883,0.026275,0.016184,0.056628,0.249060,0.176343,0.053932,0.058473,0.026412,0.027602,0.080109,0.104002,,0.035179,0.135492,0.169072,0.063481,0.015024,0.017863,0.833357,0.014009
391,0.225337,0.136353,0.211138,0.429622,0.007954,0.550296,0.026313,0.015963,0.055934,0.253429,0.177203,0.053961,0.058672,0.026397,0.027884,0.080432,0.106194,,0.035790,0.135920,0.170197,0.063625,0.014972,0.017834,0.834470,0.013983
392,0.238047,0.136700,0.226002,0.431780,0.007694,0.556664,0.026346,0.015780,0.055267,0.257935,0.178034,0.054008,0.058868,0.026369,0.028158,0.080731,0.108477,,0.036430,0.136570,0.171302,0.064103,0.014985,0.017775,0.835652,0.013944
393,0.251785,0.137029,0.242122,0.433869,0.007470,0.562966,0.026365,0.015637,0.054639,0.262587,0.178839,0.054059,0.059049,0.026340,0.028427,0.081016,0.110839,,0.037124,0.136983,0.172439,0.064600,0.015003,0.017696,0.836751,0.013957
394,0.266550,0.137362,0.259451,0.435900,0.007280,0.569183,0.026365,0.015517,0.054043,0.267396,0.179636,0.054089,0.059212,0.026317,0.028699,0.081305,0.113251,,0.037888,0.137071,0.173641,0.064851,0.014889,0.017613,0.837721,0.014037
395,0.282333,0.137690,0.277935,0.437864,0.007107,0.575297,0.026357,0.015402,0.053469,0.272375,0.180440,0.054076,0.059366,0.026297,0.028983,0.081613,0.115691,,0.038689,0.136589,0.174881,0.064780,0.014826,0.017550,0.838816,0.014044
396,0.299106,0.138001,0.297555,0.439747,0.006931,0.581290,0.026357,0.015275,0.052897,0.277568,0.181249,0.054033,0.059526,0.026274,0.029277,0.081936,0.118155,,0.039485,0.135777,0.176116,0.064359,0.014918,0.017536,0.840052,0.014045
397,0.316829,0.138283,0.318300,0.441539,0.006738,0.587145,0.026375,0.015124,0.052302,0.283041,0.182056,0.053993,0.059703,0.026244,0.029574,0.082255,0.120654,,0.040247,0.136777,0.177310,0.063666,0.014845,0.017584,0.841268,0.014059
398,0.335458,0.138538,0.340154,0.443260,0.006541,0.592847,0.026405,0.014939,0.051660,0.288861,0.182849,0.053986,0.059891,0.026212,0.029868,0.082553,0.123198,,0.040992,0.137288,0.178449,0.063214,0.014718,0.017650,0.842317,0.014085
399,0.354927,0.138768,0.363009,0.444932,0.006361,0.598383,0.026432,0.014744,0.050994,0.295131,0.183626,0.054009,0.060078,0.026184,0.030159,0.082833,0.125787,,0.041751,0.137165,0.179523,0.063625,0.014619,0.017674,0.843512,0.014087
