gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_coastalblue,sr_blue,sr_greeni,sr_green,sr_yellow,sr_red,sr_rededge,sr_nir,ndvi
Mappatura_2020.5106,Mappatura_2020,03108028,65.7,7,20260512_101812_73_2553_3B,0.07690000000000001,0.09330000000000001,0.10940000000000001,0.1169,0.1216,0.1233,0.1448,0.21680000000000002,0.2749
Mappatura_2020.5108,Mappatura_2020,03108028,44.6,5,20260512_101812_73_2553_3B,0.18130000000000002,0.21430000000000002,0.2477,0.2479,0.23950000000000002,0.2692,0.25670000000000004,0.3133,0.0757
Mappatura_2020.5110,Mappatura_2020,03108028,69.6,8,20260512_101812_73_2553_3B,0.18275,0.26885000000000003,0.29315,0.2864,0.24280000000000002,0.2919,0.25505,0.30795,0.0268
Mappatura_2020.5114,Mappatura_2020,03108028,121.8,13,20260512_101812_73_2553_3B,0.0766,0.0883,0.1063,0.11180000000000001,0.1193,0.12290000000000001,0.1416,0.21960000000000002,0.2823
Mappatura_2020.5116,Mappatura_2020,03108028,2012.5,225,20260512_101812_73_2553_3B,0.22030000000000002,0.2632,0.2907,0.2917,0.29400000000000004,0.30820000000000003,0.3049,0.3206,0.0197
Mappatura_2020.5118,Mappatura_2020,03108028,63.8,5,20260512_101812_73_2553_3B,0.0603,0.0736,0.0955,0.12000000000000001,0.1675,0.19690000000000002,0.2043,0.2816,0.177
Mappatura_2020.5121,Mappatura_2020,03108028,354.7,38,20260512_101812_73_2553_3B,0.13390000000000002,0.1527,0.17985,0.18325,0.18680000000000002,0.18625,0.2046,0.26330000000000003,0.1714
Mappatura_2020.5122,Mappatura_2020,03108028,530.6,60,20260512_101812_73_2553_3B,0.08335000000000001,0.0906,0.10845,0.11525,0.12890000000000001,0.1222,0.14835,0.2099,0.2641
Mappatura_2020.5125,Mappatura_2020,03108028,60.5,6,20260512_101812_73_2553_3B,0.0727,0.08385000000000001,0.1063,0.10835,0.11655,0.1144,0.1472,0.2509,0.3737
Mappatura_2020.5126,Mappatura_2020,03108028,261.8,29,20260512_101812_73_2553_3B,0.22,0.2441,0.2836,0.2801,0.2767,0.28340000000000004,0.2867,0.3286,0.0739
Mappatura_2020.5127,Mappatura_2020,03108028,45.7,5,20260512_101812_73_2553_3B,0.0603,0.0737,0.08850000000000001,0.09330000000000001,0.1061,0.1053,0.1274,0.19940000000000002,0.3088
Mappatura_2020.5129,Mappatura_2020,03108028,94.7,10,20260512_101812_73_2553_3B,0.0849,0.10655,0.12535000000000002,0.1366,0.15055000000000002,0.15835000000000002,0.1734,0.2291,0.1826
Mappatura_2020.5130,Mappatura_2020,03108028,42.9,6,20260512_101812_73_2553_3B,0.07225000000000001,0.09190000000000001,0.10695,0.11145000000000001,0.1178,0.12705,0.1409,0.2018,0.2273
Mappatura_2020.5131,Mappatura_2020,03108028,359.7,41,20260512_101812_73_2553_3B,0.2083,0.2541,0.2836,0.28600000000000003,0.2833,0.2937,0.2883,0.31880000000000003,0.041
Mappatura_2020.5133,Mappatura_2020,03108028,298.1,32,20260512_101812_73_2553_3B,0.25395,0.3029,0.3443,0.3481,0.34985,0.35400000000000004,0.35005000000000003,0.37475,0.0285
Mappatura_2020.5136,Mappatura_2020,03108028,287.9,32,20260512_101812_73_2553_3B,0.08030000000000001,0.0989,0.11755,0.12510000000000002,0.12775,0.14375000000000002,0.1589,0.2369,0.2447
Mappatura_2020.5137,Mappatura_2020,03108028,426.7,48,20260512_101812_73_2553_3B,0.0813,0.10020000000000001,0.12325000000000001,0.12175000000000001,0.1114,0.11015000000000001,0.1358,0.24195,0.3743
Mappatura_2020.5138,Mappatura_2020,03108028,1335.3,147,20260512_101812_73_2553_3B,0.1115,0.13,0.1552,0.1633,0.17320000000000002,0.17550000000000002,0.1917,0.2591,0.1924
Mappatura_2020.5139,Mappatura_2020,03108028,4070.0,454,20260512_101812_73_2553_3B,0.0931,0.11080000000000001,0.13240000000000002,0.13875,0.15075,0.15505000000000002,0.16820000000000002,0.23625000000000002,0.2075
Mappatura_2020.5140,Mappatura_2020,03108028,54.0,6,20260512_101812_73_2553_3B,0.07075000000000001,0.07915,0.09645000000000001,0.1017,0.11145000000000001,0.10715000000000001,0.12925,0.2016,0.3059
