gml_id,fonte,comune_istat,area_m2,n_px,strip,sr_blue,sr_green,sr_red,sr_nir,ndvi
Mappature_precedenti.368,PRAL,03012127,268.8,29,20260330_105816_37_2514_3B,0.23750000000000002,0.2524,0.2604,0.2548,-0.0109
Mappature_precedenti.369,PRAL,03012127,669.6,71,20260330_105816_37_2514_3B,0.114,0.127,0.1328,0.1694,0.1211
Mappature_precedenti.370,PRAL,03012127,257.6,28,20260330_105816_37_2514_3B,0.11080000000000001,0.1193,0.1341,0.19690000000000002,0.1897
Mappature_precedenti.372,PRAL,03012127,270.9,30,20260330_105816_37_2514_3B,0.25535,0.2939,0.29805000000000004,0.3,0.0033
Mappature_precedenti.373,PRAL,03012127,216.8,25,20260330_105816_37_2514_3B,0.0848,0.09040000000000001,0.1038,0.1557,0.2
Mappature_precedenti.375,PRAL,03012127,468.6,50,20260330_105816_37_2514_3B,0.1322,0.14845,0.15080000000000002,0.17635,0.0781
Mappature_precedenti.377,PRAL,03012127,269.2,29,20260330_105816_37_2514_3B,0.1217,0.1444,0.155,0.2175,0.1678
Mappature_precedenti.380,PRAL,03012127,240.0,26,20260330_105816_37_2514_3B,0.06470000000000001,0.07060000000000001,0.08075,0.11960000000000001,0.1939
Mappature_precedenti.381,PRAL,03012127,95.0,11,20260330_105816_37_2514_3B,0.2503,0.2735,0.2904,0.2782,-0.0215
Mappature_precedenti.382,PRAL,03012127,859.8,96,20260330_105816_37_2514_3B,0.1421,0.1562,0.16440000000000002,0.19205,0.0776
Mappature_precedenti.384,PRAL,03012127,368.0,39,20260330_105816_37_2514_3B,0.1143,0.12290000000000001,0.13920000000000002,0.21350000000000002,0.2107
Mappature_precedenti.387,PRAL,03012127,232.3,23,20260330_105816_37_2514_3B,0.10600000000000001,0.11620000000000001,0.1212,0.15510000000000002,0.1227
Mappature_precedenti.389,PRAL,03012127,67.8,9,20260330_105816_37_2514_3B,0.0999,0.11560000000000001,0.1269,0.1872,0.192
Mappature_precedenti.391,PRAL,03012127,77.0,9,20260330_105816_37_2514_3B,0.0763,0.08660000000000001,0.09050000000000001,0.1681,0.3001
Mappature_precedenti.392,PRAL,03012127,276.0,30,20260330_105816_37_2514_3B,0.06380000000000001,0.0717,0.07615000000000001,0.1573,0.3476
Mappature_precedenti.393,PRAL,03012127,482.1,51,20260330_105816_37_2514_3B,0.094,0.1076,0.1208,0.1802,0.1973
Mappature_precedenti.394,PRAL,03012127,171.6,20,20260330_105816_37_2514_3B,0.04435,0.05075,0.056600000000000004,0.11625,0.3451
Mappature_precedenti.399,PRAL,03012127,78.5,7,20260330_105816_37_2514_3B,0.078,0.08560000000000001,0.097,0.13390000000000002,0.1598
Mappature_precedenti.403,PRAL,03012127,290.1,33,20260330_105816_37_2514_3B,0.0621,0.07400000000000001,0.0814,0.1501,0.2968
Mappature_precedenti.409,PRAL,03012127,189.3,21,20260330_105816_37_2514_3B,0.07010000000000001,0.0791,0.0877,0.1597,0.291
Mappature_precedenti.410,PRAL,03012127,582.1,64,20260330_105816_37_2514_3B,0.16,0.17105,0.18445,0.21065,0.0663
Mappature_precedenti.412,PRAL,03012127,410.6,46,20260330_105816_37_2514_3B,0.06775,0.07575,0.08325,0.1148,0.1593
Mappature_precedenti.413,PRAL,03012127,843.0,94,20260330_105816_37_2514_3B,0.3579,0.3781,0.4097,0.41375,0.0049
Mappature_precedenti.415,PRAL,03012127,95.8,11,20260330_105816_37_2514_3B,0.2626,0.2862,0.3003,0.31370000000000003,0.0218
Mappature_precedenti.418,PRAL,03012127,395.6,44,20260330_105816_37_2514_3B,0.1393,0.1605,0.18175,0.2721,0.1991
Mappature_precedenti.421,PRAL,03012127,42.9,5,20260330_105816_37_2514_3B,0.065,0.06810000000000001,0.08220000000000001,0.14170000000000002,0.2657
Mappature_precedenti.425,PRAL,03012127,302.1,32,20260330_105816_37_2514_3B,0.09375,0.10285000000000001,0.11515,0.15915,0.1604
Mappature_precedenti.426,PRAL,03012127,264.7,30,20260330_105816_37_2514_3B,0.14015,0.152,0.17200000000000001,0.2514,0.1875
Mappature_precedenti.427,PRAL,03012127,135.4,15,20260330_105816_37_2514_3B,0.0697,0.0799,0.08700000000000001,0.13440000000000002,0.2141
Mappature_precedenti.431,PRAL,03012127,44.2,5,20260330_105816_37_2514_3B,0.0702,0.0944,0.13090000000000002,0.1935,0.193
Mappature_precedenti.436,PRAL,03012127,64.1,7,20260330_105816_37_2514_3B,0.042300000000000004,0.049100000000000005,0.0533,0.1203,0.3859
Mappature_precedenti.437,PRAL,03012127,216.4,24,20260330_105816_37_2514_3B,0.0821,0.09495,0.1057,0.19505,0.2971
Mappature_precedenti.439,PRAL,03012127,1162.9,132,20260330_105816_37_2514_3B,0.11975000000000001,0.13655,0.15330000000000002,0.1887,0.1035
Mappature_precedenti.440,PRAL,03012127,119.7,13,20260330_105816_37_2514_3B,0.0859,0.0966,0.11040000000000001,0.1822,0.2454
Mappature_precedenti.443,PRAL,03012127,99.6,11,20260330_105816_37_2514_3B,0.061000000000000006,0.0671,0.0785,0.1303,0.2481
Mappature_precedenti.445,PRAL,03012127,242.4,25,20260330_105816_37_2514_3B,0.0755,0.0804,0.08660000000000001,0.1296,0.1989
Mappature_precedenti.448,PRAL,03012127,81.6,9,20260330_105816_37_2514_3B,0.0656,0.0742,0.0879,0.1327,0.2031
Mappature_precedenti.474,PRAL,03012107,195.6,22,20260330_105816_37_2514_3B,0.0795,0.10195,0.1335,0.2283,0.262
Mappature_precedenti.477,PRAL,03012107,13.3,7,20260330_105816_37_2514_3B,0.0946,0.1136,0.1327,0.199,0.1999
Mappature_precedenti.478,PRAL,03012107,188.2,21,20260330_105816_37_2514_3B,0.0976,0.1106,0.12660000000000002,0.217,0.2631
Mappature_precedenti.480,PRAL,03012107,98.4,13,20260330_105816_37_2514_3B,0.0843,0.10010000000000001,0.1056,0.2141,0.3394
Mappature_precedenti.481,PRAL,03012107,75.0,9,20260330_105816_37_2514_3B,0.0804,0.09720000000000001,0.1096,0.2215,0.338
Mappature_precedenti.482,PRAL,03012107,143.6,15,20260330_105816_37_2514_3B,0.0942,0.1015,0.1178,0.20620000000000002,0.2728
Mappature_precedenti.483,PRAL,03012107,79.8,9,20260330_105816_37_2514_3B,0.0833,0.1041,0.13440000000000002,0.24150000000000002,0.2849
Mappature_precedenti.484,PRAL,03012107,170.9,18,20260330_105816_37_2514_3B,0.23055,0.23370000000000002,0.25285,0.3392,0.1458
Mappature_precedenti.496,PRAL,03012107,226.9,22,20260330_105816_37_2514_3B,0.1082,0.11965,0.13265000000000002,0.1995,0.2013
Mappature_precedenti.498,PRAL,03012107,346.5,39,20260330_105816_37_2514_3B,0.2639,0.2767,0.2963,0.31070000000000003,0.0237
Mappature_precedenti.502,PRAL,03012085,112.2,10,20260330_105816_37_2514_3B,0.18425,0.20370000000000002,0.2121,0.23850000000000002,0.0586
Mappature_precedenti.503,PRAL,03012085,59.2,7,20260330_105816_37_2514_3B,0.129,0.1368,0.1418,0.2139,0.2027
Mappature_precedenti.504,PRAL,03012085,277.7,28,20260330_105816_37_2514_3B,0.19955,0.22785000000000002,0.2401,0.2978,0.1073
Mappature_precedenti.505,PRAL,03012085,89.5,9,20260330_105816_37_2514_3B,0.0675,0.07830000000000001,0.085,0.1547,0.2908
Mappature_precedenti.506,PRAL,03012085,96.2,16,20260330_105816_37_2514_3B,0.09390000000000001,0.11115,0.12995,0.21285,0.2418
Mappature_precedenti.508,PRAL,03012085,120.2,12,20260330_105816_37_2514_3B,0.099,0.11355000000000001,0.12405000000000001,0.2354,0.3098
Mappature_precedenti.509,PRAL,03012085,2295.8,255,20260330_105816_37_2514_3B,0.1097,0.11960000000000001,0.1351,0.2083,0.2132
Mappature_precedenti.510,PRAL,03012085,279.0,31,20260330_105816_37_2514_3B,0.12190000000000001,0.1295,0.1394,0.17070000000000002,0.1009
Mappature_precedenti.514,PRAL,03012085,1439.5,159,20260330_105816_37_2514_3B,0.1087,0.11860000000000001,0.1316,0.23120000000000002,0.2745
Mappature_precedenti.515,PRAL,03012085,383.3,44,20260330_105816_37_2514_3B,0.0994,0.10700000000000001,0.11655,0.2172,0.3016
Mappature_precedenti.517,PRAL,03012085,252.4,27,20260330_105816_37_2514_3B,0.2285,0.24330000000000002,0.2525,0.2932,0.0746
Mappature_precedenti.518,PRAL,03012085,178.1,19,20260330_105816_37_2514_3B,0.0859,0.1018,0.1197,0.2034,0.2591
Mappature_precedenti.522,PRAL,03012085,82.7,14,20260330_105816_37_2514_3B,0.09705000000000001,0.1095,0.12365000000000001,0.2048,0.2471
Mappature_precedenti.534,PRAL,03012085,165.4,19,20260330_105816_37_2514_3B,0.1022,0.1144,0.12430000000000001,0.2354,0.3089
Mappature_precedenti.538,PRAL,03012085,207.1,22,20260330_105816_37_2514_3B,0.24325000000000002,0.2571,0.26245,0.31825000000000003,0.0961
Mappature_precedenti.539,PRAL,03012085,66.7,6,20260330_105816_37_2514_3B,0.21055000000000001,0.21845,0.2326,0.2884,0.1071
Mappature_precedenti.541,PRAL,03012085,80.3,10,20260330_105816_37_2514_3B,0.18765,0.1978,0.2088,0.24710000000000001,0.084
Mappature_precedenti.542,PRAL,03012085,62.8,9,20260330_105816_37_2514_3B,0.09140000000000001,0.1009,0.11470000000000001,0.1907,0.2489
Mappature_precedenti.545,PRAL,03012085,137.2,15,20260330_105816_37_2514_3B,0.09050000000000001,0.10110000000000001,0.1092,0.193,0.2773
Mappature_precedenti.546,PRAL,03012085,67.8,6,20260330_105816_37_2514_3B,0.09125,0.0989,0.1086,0.15585000000000002,0.1787
Mappature_precedenti.554,PRAL,03012085,234.2,27,20260330_105816_37_2514_3B,0.112,0.1247,0.13820000000000002,0.21930000000000002,0.2269
Mappature_precedenti.555,PRAL,03012085,391.5,40,20260330_105816_37_2514_3B,0.1003,0.10765000000000001,0.12225000000000001,0.19465000000000002,0.2285
Mappature_precedenti.558,PRAL,03012085,44.3,5,20260330_105816_37_2514_3B,0.0689,0.0898,0.1359,0.2398,0.2766
Mappature_precedenti.563,PRAL,03012085,64.0,7,20260330_105816_37_2514_3B,0.0941,0.0998,0.1116,0.1829,0.2421
Mappature_precedenti.566,PRAL,03012085,268.7,32,20260330_105816_37_2514_3B,0.09530000000000001,0.1043,0.11720000000000001,0.18610000000000002,0.2272
Mappature_precedenti.569,PRAL,03012085,75.8,10,20260330_105816_37_2514_3B,0.09680000000000001,0.11245000000000001,0.12340000000000001,0.2192,0.2796
Mappature_precedenti.573,PRAL,03012085,166.4,20,20260330_105816_37_2514_3B,0.13065000000000002,0.15215,0.16290000000000002,0.24070000000000003,0.1928
Mappature_precedenti.577,PRAL,03012085,1194.6,132,20260330_105816_37_2514_3B,0.11745,0.13770000000000002,0.1554,0.22,0.1721
Mappature_precedenti.578,PRAL,03012085,238.6,27,20260330_105816_37_2514_3B,0.2253,0.24910000000000002,0.2601,0.2664,0.012
Mappature_precedenti.585,PRAL,03012085,385.9,42,20260330_105816_37_2514_3B,0.10245,0.1212,0.13435,0.23290000000000002,0.2683
Mappature_precedenti.589,PRAL,03012085,372.6,43,20260330_105816_37_2514_3B,0.095,0.1096,0.11960000000000001,0.2361,0.3275
Mappature_precedenti.590,PRAL,03012085,134.6,18,20260330_105816_37_2514_3B,0.09635,0.1107,0.12165000000000001,0.20025,0.2442
Mappature_precedenti.592,PRAL,03012085,1433.0,158,20260330_105816_37_2514_3B,0.2285,0.24650000000000002,0.2541,0.26655,0.0239
Mappature_precedenti.594,PRAL,03012085,208.0,22,20260330_105816_37_2514_3B,0.09815,0.11120000000000001,0.1241,0.20185,0.2385
Mappature_precedenti.597,PRAL,03012085,246.6,28,20260330_105816_37_2514_3B,0.06845,0.07585,0.12425,0.1847,0.1957
Mappature_precedenti.599,PRAL,03012085,71.1,9,20260330_105816_37_2514_3B,0.2013,0.2404,0.2639,0.2748,0.0202
Mappature_precedenti.692,PRAL,03012105,200.9,21,20260330_105816_37_2514_3B,0.099,0.1144,0.1227,0.2437,0.3302
Mappature_precedenti.1475,PRAL,03012040,91.4,10,20260330_105816_37_2514_3B,0.1179,0.1315,0.15165,0.20965,0.1605
Mappature_precedenti.1491,PRAL,03012040,49.2,5,20260330_105816_37_2514_3B,0.0682,0.0703,0.0726,0.18050000000000002,0.4263
Mappature_precedenti.1505,PRAL,03012040,92.0,9,20260330_105816_37_2514_3B,0.0685,0.0756,0.0877,0.13440000000000002,0.2103
Mappature_precedenti.1506,PRAL,03012040,373.5,32,20260330_105816_37_2514_3B,0.11275,0.13390000000000002,0.15145,0.2505,0.2464
Mappature_precedenti.1509,PRAL,03012040,2263.4,252,20260330_105816_37_2514_3B,0.13845000000000002,0.1568,0.17600000000000002,0.2333,0.14
Mappature_precedenti.1516,PRAL,03012040,203.8,22,20260330_105816_37_2514_3B,0.0854,0.0912,0.10345,0.18780000000000002,0.2896
Mappature_precedenti.1533,PRAL,03012040,112.1,12,20260330_105816_37_2514_3B,0.2076,0.2237,0.23325,0.27890000000000004,0.0891
Mappature_precedenti.1536,PRAL,03012040,94.1,11,20260330_105816_37_2514_3B,0.07490000000000001,0.0918,0.0993,0.1867,0.3056
Mappature_precedenti.1578,PRAL,03012040,41.8,5,20260330_105816_37_2514_3B,0.0874,0.0999,0.10540000000000001,0.20620000000000002,0.3235
Mappature_precedenti.1581,PRAL,03012040,516.1,57,20260330_105818_41_2514_3B,0.2406,0.25420000000000004,0.27490000000000003,0.3098,0.0597
Mappature_precedenti.1591,PRAL,03012040,273.3,32,20260330_105816_37_2514_3B,0.19335000000000002,0.19755,0.24600000000000002,0.3759,0.2089
Mappature_precedenti.1593,PRAL,03012040,83.2,10,20260330_105816_37_2514_3B,0.23970000000000002,0.23735,0.2513,0.25265,0.0027
Mappature_precedenti.1604,PRAL,03012040,44.3,5,20260330_105816_37_2514_3B,0.0912,0.1003,0.1096,0.2089,0.3118
Mappature_precedenti.1615,PRAL,03012040,100.8,7,20260330_105816_37_2514_3B,0.1203,0.13570000000000002,0.15660000000000002,0.2462,0.2224
Mappature_precedenti.1630,PRAL,03012040,1658.8,184,20260330_105816_37_2514_3B,0.23625000000000002,0.25785,0.26635000000000003,0.29095,0.0441
Mappature_precedenti.1647,PRAL,03012040,109.0,13,20260330_105816_37_2514_3B,0.07440000000000001,0.0825,0.08940000000000001,0.1953,0.372
Mappature_precedenti.1658,PRAL,03012040,60.0,6,20260330_105816_37_2514_3B,0.09715,0.10825,0.11815,0.22775,0.3169
Mappature_precedenti.1660,PRAL,03012040,83.7,10,20260330_105816_37_2514_3B,0.062200000000000005,0.0864,0.1193,0.19990000000000002,0.2525
Mappature_precedenti.1666,PRAL,03012040,730.4,85,20260330_105816_37_2514_3B,0.11670000000000001,0.1333,0.1447,0.2519,0.2703
Mappature_precedenti.1673,PRAL,03012040,593.0,70,20260330_105816_37_2514_3B,0.11245000000000001,0.12935,0.14425000000000002,0.22820000000000001,0.2254
