wavelength_nm,Chrysotile HS323.1B,Chrysotile coarse fib,Chrysotile fine fib,Tremolite,Actinolite,Antigorite,Concrete (road),Brick red (terracotta),Asphalt tar roof,Asphalt shingle grey,Fiberglass roofing white,Galvanized metal roof,AC roof new,AC roof moderate,AC roof weathered
405.0,0.84380,0.40887,0.10851,0.67365,0.14245,0.15727,0.18806,0.05408,0.02612,0.09503,0.62731,0.09266,0.25364,0.35200,0.45036
406.0,0.84440,0.40859,0.10875,0.67466,0.14344,0.15755,0.18878,0.05409,0.02610,0.09544,0.64442,0.09265,0.25434,0.35269,0.45103
407.0,0.84510,0.40824,0.10899,0.67580,0.14455,0.15786,0.18949,0.05408,0.02607,0.09578,0.66074,0.09263,0.25505,0.35339,0.45173
408.0,0.84580,0.40783,0.10924,0.67646,0.14564,0.15821,0.19018,0.05406,0.02605,0.09606,0.67616,0.09261,0.25574,0.35409,0.45243
409.0,0.84647,0.40739,0.10947,0.67713,0.14658,0.15860,0.19087,0.05404,0.02603,0.09627,0.69060,0.09258,0.25643,0.35477,0.45311
410.0,0.84715,0.40694,0.10971,0.67800,0.14753,0.15906,0.19156,0.05402,0.02602,0.09643,0.70400,0.09256,0.25712,0.35546,0.45379
411.0,0.84792,0.40652,0.10996,0.67881,0.14867,0.15961,0.19226,0.05402,0.02600,0.09653,0.71630,0.09255,0.25782,0.35617,0.45452
412.0,0.84863,0.40614,0.11022,0.67983,0.14990,0.16019,0.19297,0.05404,0.02597,0.09659,0.72748,0.09254,0.25853,0.35688,0.45523
413.0,0.84913,0.40582,0.11050,0.68087,0.15106,0.16071,0.19370,0.05408,0.02594,0.09662,0.73754,0.09253,0.25924,0.35756,0.45587
414.0,0.84972,0.40553,0.11078,0.68183,0.15212,0.16127,0.19444,0.05413,0.02593,0.09664,0.74652,0.09253,0.25997,0.35826,0.45655
415.0,0.85033,0.40529,0.11106,0.68276,0.15356,0.16182,0.19518,0.05417,0.02593,0.09664,0.75451,0.09253,0.26069,0.35896,0.45724
416.0,0.85094,0.40509,0.11136,0.68393,0.15451,0.16239,0.19589,0.05418,0.02594,0.09663,0.76162,0.09253,0.26140,0.35966,0.45791
417.0,0.85158,0.40493,0.11166,0.68519,0.15520,0.16311,0.19660,0.05418,0.02596,0.09659,0.76792,0.09253,0.26210,0.36034,0.45859
418.0,0.85222,0.40480,0.11198,0.68621,0.15680,0.16388,0.19732,0.05417,0.02596,0.09654,0.77349,0.09252,0.26281,0.36104,0.45928
419.0,0.85279,0.40468,0.11232,0.68726,0.15804,0.16466,0.19807,0.05419,0.02596,0.09646,0.77841,0.09252,0.26354,0.36175,0.45996
420.0,0.85330,0.40455,0.11265,0.68837,0.15899,0.16545,0.19885,0.05422,0.02596,0.09636,0.78276,0.09251,0.26430,0.36247,0.46063
421.0,0.85385,0.40438,0.11299,0.68942,0.16029,0.16621,0.19965,0.05426,0.02595,0.09625,0.78663,0.09251,0.26507,0.36320,0.46133
422.0,0.85446,0.40417,0.11332,0.69054,0.16123,0.16698,0.20045,0.05429,0.02594,0.09614,0.79010,0.09252,0.26585,0.36395,0.46205
423.0,0.85507,0.40390,0.11364,0.69159,0.16225,0.16771,0.20124,0.05431,0.02592,0.09602,0.79321,0.09253,0.26663,0.36470,0.46278
424.0,0.85566,0.40358,0.11394,0.69248,0.16352,0.16836,0.20205,0.05433,0.02589,0.09589,0.79601,0.09254,0.26741,0.36545,0.46349
425.0,0.85624,0.40321,0.11425,0.69327,0.16485,0.16900,0.20287,0.05437,0.02587,0.09576,0.79852,0.09256,0.26821,0.36622,0.46422
426.0,0.85675,0.40280,0.11457,0.69410,0.16591,0.16964,0.20371,0.05443,0.02584,0.09561,0.80077,0.09258,0.26901,0.36697,0.46493
427.0,0.85720,0.40235,0.11491,0.69491,0.16688,0.17026,0.20456,0.05448,0.02583,0.09547,0.80278,0.09260,0.26983,0.36772,0.46562
428.0,0.85774,0.40190,0.11526,0.69561,0.16807,0.17085,0.20542,0.05454,0.02581,0.09533,0.80458,0.09263,0.27065,0.36850,0.46635
429.0,0.85825,0.40144,0.11560,0.69631,0.16927,0.17146,0.20629,0.05459,0.02581,0.09520,0.80620,0.09266,0.27148,0.36928,0.46707
430.0,0.85878,0.40099,0.11592,0.69707,0.17032,0.17205,0.20717,0.05465,0.02581,0.09508,0.80768,0.09268,0.27233,0.37007,0.46781
431.0,0.85938,0.40055,0.11623,0.69786,0.17121,0.17264,0.20806,0.05470,0.02581,0.09495,0.80906,0.09271,0.27319,0.37089,0.46859
432.0,0.85990,0.40014,0.11652,0.69847,0.17235,0.17325,0.20897,0.05475,0.02580,0.09481,0.81036,0.09274,0.27406,0.37170,0.46934
433.0,0.86044,0.39977,0.11680,0.69915,0.17318,0.17392,0.20987,0.05482,0.02578,0.09467,0.81156,0.09278,0.27493,0.37251,0.47010
434.0,0.86096,0.39945,0.11707,0.69995,0.17375,0.17464,0.21077,0.05489,0.02577,0.09454,0.81265,0.09281,0.27579,0.37332,0.47085
435.0,0.86143,0.39921,0.11734,0.70066,0.17481,0.17535,0.21166,0.05497,0.02575,0.09441,0.81363,0.09285,0.27664,0.37410,0.47157
436.0,0.86190,0.39906,0.11761,0.70142,0.17545,0.17602,0.21255,0.05505,0.02574,0.09428,0.81454,0.09288,0.27748,0.37489,0.47229
437.0,0.86237,0.39902,0.11787,0.70224,0.17581,0.17664,0.21344,0.05513,0.02574,0.09417,0.81537,0.09290,0.27833,0.37567,0.47301
438.0,0.86283,0.39908,0.11812,0.70303,0.17640,0.17718,0.21433,0.05519,0.02574,0.09406,0.81614,0.09293,0.27918,0.37645,0.47373
439.0,0.86329,0.39922,0.11835,0.70391,0.17686,0.17757,0.21521,0.05526,0.02574,0.09397,0.81685,0.09297,0.28002,0.37723,0.47444
440.0,0.86379,0.39945,0.11856,0.70483,0.17733,0.17784,0.21607,0.05533,0.02574,0.09387,0.81751,0.09300,0.28085,0.37800,0.47516
441.0,0.86430,0.39978,0.11879,0.70573,0.17790,0.17799,0.21692,0.05540,0.02574,0.09378,0.81812,0.09304,0.28166,0.37877,0.47587
442.0,0.86482,0.40022,0.11903,0.70661,0.17852,0.17800,0.21775,0.05546,0.02574,0.09370,0.81870,0.09307,0.28246,0.37952,0.47658
443.0,0.86528,0.40073,0.11929,0.70745,0.17927,0.17788,0.21857,0.05553,0.02575,0.09362,0.81923,0.09310,0.28324,0.38025,0.47725
444.0,0.86578,0.40128,0.11955,0.70828,0.18007,0.17772,0.21937,0.05559,0.02575,0.09356,0.81974,0.09312,0.28401,0.38097,0.47793
445.0,0.86633,0.40185,0.11982,0.70908,0.18085,0.17757,0.22016,0.05565,0.02575,0.09349,0.82025,0.09314,0.28478,0.38170,0.47863
446.0,0.86690,0.40241,0.12008,0.71002,0.18179,0.17740,0.22093,0.05571,0.02574,0.09342,0.82075,0.09315,0.28552,0.38242,0.47931
447.0,0.86740,0.40296,0.12036,0.71092,0.18284,0.17730,0.22167,0.05578,0.02573,0.09334,0.82125,0.09316,0.28624,0.38310,0.47996
448.0,0.86794,0.40348,0.12064,0.71168,0.18388,0.17729,0.22238,0.05584,0.02572,0.09328,0.82173,0.09318,0.28694,0.38377,0.48061
449.0,0.86853,0.40396,0.12092,0.71246,0.18508,0.17739,0.22307,0.05590,0.02571,0.09324,0.82218,0.09320,0.28762,0.38444,0.48125
450.0,0.86896,0.40441,0.12120,0.71329,0.18606,0.17758,0.22374,0.05595,0.02571,0.09321,0.82261,0.09321,0.28826,0.38504,0.48182
451.0,0.86945,0.40482,0.12147,0.71407,0.18686,0.17784,0.22438,0.05600,0.02571,0.09319,0.82302,0.09322,0.28889,0.38565,0.48241
452.0,0.86998,0.40520,0.12173,0.71468,0.18808,0.17819,0.22502,0.05605,0.02571,0.09317,0.82344,0.09322,0.28952,0.38626,0.48300
453.0,0.87045,0.40557,0.12200,0.71528,0.18908,0.17862,0.22564,0.05610,0.02572,0.09316,0.82387,0.09322,0.29012,0.38684,0.48356
454.0,0.87090,0.40592,0.12229,0.71597,0.18991,0.17913,0.22624,0.05615,0.02571,0.09314,0.82432,0.09322,0.29070,0.38740,0.48410
455.0,0.87140,0.40628,0.12258,0.71669,0.19094,0.17966,0.22680,0.05619,0.02571,0.09313,0.82477,0.09323,0.29126,0.38795,0.48464
456.0,0.87194,0.40667,0.12287,0.71742,0.19186,0.18020,0.22734,0.05623,0.02570,0.09312,0.82521,0.09323,0.29180,0.38849,0.48518
457.0,0.87242,0.40711,0.12315,0.71802,0.19272,0.18076,0.22786,0.05627,0.02569,0.09311,0.82563,0.09324,0.29231,0.38900,0.48568
458.0,0.87287,0.40766,0.12342,0.71855,0.19363,0.18134,0.22837,0.05631,0.02568,0.09311,0.82599,0.09324,0.29282,0.38950,0.48617
459.0,0.87335,0.40836,0.12370,0.71918,0.19463,0.18192,0.22887,0.05635,0.02567,0.09311,0.82632,0.09324,0.29332,0.38999,0.48666
460.0,0.87387,0.40929,0.12400,0.71993,0.19559,0.18250,0.22937,0.05640,0.02567,0.09312,0.82665,0.09323,0.29382,0.39049,0.48717
461.0,0.87437,0.41048,0.12432,0.72064,0.19648,0.18308,0.22985,0.05644,0.02567,0.09314,0.82701,0.09321,0.29430,0.39098,0.48766
462.0,0.87486,0.41198,0.12466,0.72121,0.19734,0.18364,0.23031,0.05647,0.02567,0.09317,0.82742,0.09318,0.29477,0.39145,0.48813
463.0,0.87538,0.41380,0.12503,0.72179,0.19834,0.18421,0.23077,0.05651,0.02566,0.09320,0.82784,0.09314,0.29523,0.39192,0.48861
464.0,0.87595,0.41596,0.12543,0.72242,0.19933,0.18485,0.23120,0.05655,0.02565,0.09322,0.82827,0.09311,0.29568,0.39239,0.48910
465.0,0.87650,0.41844,0.12583,0.72305,0.20017,0.18551,0.23163,0.05659,0.02564,0.09324,0.82868,0.09309,0.29612,0.39285,0.48958
466.0,0.87704,0.42123,0.12625,0.72368,0.20128,0.18620,0.23206,0.05663,0.02564,0.09326,0.82904,0.09309,0.29656,0.39331,0.49006
467.0,0.87759,0.42428,0.12669,0.72428,0.20227,0.18694,0.23250,0.05667,0.02563,0.09329,0.82932,0.09309,0.29701,0.39377,0.49054
468.0,0.87806,0.42758,0.12715,0.72484,0.20308,0.18774,0.23295,0.05670,0.02562,0.09332,0.82956,0.09310,0.29746,0.39423,0.49100
469.0,0.87861,0.43106,0.12763,0.72534,0.20431,0.18860,0.23340,0.05674,0.02562,0.09337,0.82981,0.09309,0.29792,0.39470,0.49148
470.0,0.87917,0.43467,0.12813,0.72596,0.20529,0.18951,0.23385,0.05678,0.02561,0.09341,0.83013,0.09307,0.29839,0.39518,0.49198
471.0,0.87970,0.43832,0.12865,0.72665,0.20610,0.19044,0.23430,0.05682,0.02561,0.09345,0.83052,0.09304,0.29884,0.39565,0.49246
472.0,0.88022,0.44194,0.12916,0.72730,0.20718,0.19139,0.23475,0.05687,0.02561,0.09349,0.83096,0.09297,0.29930,0.39612,0.49294
473.0,0.88077,0.44547,0.12967,0.72790,0.20821,0.19235,0.23520,0.05690,0.02561,0.09354,0.83142,0.09290,0.29976,0.39659,0.49343
474.0,0.88134,0.44888,0.13017,0.72849,0.20917,0.19330,0.23566,0.05693,0.02560,0.09360,0.83188,0.09281,0.30023,0.39708,0.49393
